file_path,line_no,function_name,return_type,parameter_types,full_signature
include/malloc.h,62,calloc,void *,"size_t,size_t","void * calloc(size_t,size_t)"
include/malloc.h,64,free,void,void *,void free(void *)
include/malloc.h,114,mallinfo,unknown,void,unknown mallinfo(void)
include/malloc.h,122,mallinfo2,unknown,void,unknown mallinfo2(void)
include/malloc.h,61,malloc,void *,size_t,void * malloc(size_t)
include/malloc.h,81,malloc_check_from_ptr,int,void * ptr,int malloc_check_from_ptr(void *)
include/malloc.h,68,malloc_usable_size,size_t,void *,size_t malloc_usable_size(void *)
include/malloc.h,69,mallopt,int,"int param,int value","int mallopt(int,int)"
include/malloc.h,66,memalign,void *,"size_t,size_t","void * memalign(size_t,size_t)"
include/malloc.h,63,realloc,void *,"void *,size_t","void * realloc(void *,size_t)"
include/malloc.h,65,valloc,void *,size_t,void * valloc(size_t)
include/deviceinfo.h,114,OH_GetAbiList,const char *,void,const char * OH_GetAbiList(void)
include/deviceinfo.h,107,OH_GetBootloaderVersion,const char *,void,const char * OH_GetBootloaderVersion(void)
include/deviceinfo.h,65,OH_GetBrand,const char *,void,const char * OH_GetBrand(void)
include/deviceinfo.h,194,OH_GetBuildHost,const char *,void,const char * OH_GetBuildHost(void)
include/deviceinfo.h,208,OH_GetBuildRootHash,const char *,void,const char * OH_GetBuildRootHash(void)
include/deviceinfo.h,201,OH_GetBuildTime,const char *,void,const char * OH_GetBuildTime(void)
include/deviceinfo.h,180,OH_GetBuildType,const char *,void,const char * OH_GetBuildType(void)
include/deviceinfo.h,187,OH_GetBuildUser,const char *,void,const char * OH_GetBuildUser(void)
include/deviceinfo.h,51,OH_GetDeviceType,const char *,void,const char * OH_GetDeviceType(void)
include/deviceinfo.h,128,OH_GetDisplayVersion,const char *,void,const char * OH_GetDisplayVersion(void)
include/deviceinfo.h,234,OH_GetDistributionOSApiVersion,int,void,int OH_GetDistributionOSApiVersion(void)
include/deviceinfo.h,218,OH_GetDistributionOSName,const char *,void,const char * OH_GetDistributionOSName(void)
include/deviceinfo.h,242,OH_GetDistributionOSReleaseType,const char *,void,const char * OH_GetDistributionOSReleaseType(void)
include/deviceinfo.h,226,OH_GetDistributionOSVersion,const char *,void,const char * OH_GetDistributionOSVersion(void)
include/deviceinfo.h,166,OH_GetFirstApiVersion,int,void,int OH_GetFirstApiVersion(void)
include/deviceinfo.h,100,OH_GetHardwareModel,const char *,void,const char * OH_GetHardwareModel(void)
include/deviceinfo.h,135,OH_GetIncrementalVersion,const char *,void,const char * OH_GetIncrementalVersion(void)
include/deviceinfo.h,58,OH_GetManufacture,const char *,void,const char * OH_GetManufacture(void)
include/deviceinfo.h,72,OH_GetMarketName,const char *,void,const char * OH_GetMarketName(void)
include/deviceinfo.h,152,OH_GetOSFullName,const char *,void,const char * OH_GetOSFullName(void)
include/deviceinfo.h,145,OH_GetOsReleaseType,const char *,void,const char * OH_GetOsReleaseType(void)
include/deviceinfo.h,86,OH_GetProductModel,const char *,void,const char * OH_GetProductModel(void)
