file_path,line_no,function_name,return_type,parameter_types,full_signature
include/AbilityKit/native_child_process.h,416,OH_Ability_StartNativeChildProcessWithConfigs,Ability_NativeChildProcess_ErrCode,"const char * entry,NativeChildProcess_Args args,Ability_ChildProcessConfigs * configs,int32_t * pid","Ability_NativeChildProcess_ErrCode OH_Ability_StartNativeChildProcessWithConfigs(const char *,NativeChildProcess_Args,Ability_ChildProcessConfigs *,int32_t *)"
include/AbilityKit/native_child_process.h,462,OH_Ability_UnregisterNativeChildProcessExitCallback,Ability_NativeChildProcess_ErrCode,OH_Ability_OnNativeChildProcessExit onProcessExit,Ability_NativeChildProcess_ErrCode OH_Ability_UnregisterNativeChildProcessExitCallback(OH_Ability_OnNativeChildProcessExit)
include/AbilityKit/ability_base/want.h,149,OH_AbilityBase_AddWantFd,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,int32_t fd","AbilityBase_ErrorCode OH_AbilityBase_AddWantFd(AbilityBase_Want *,const char *,int32_t)"
include/AbilityKit/ability_base/want.h,73,OH_AbilityBase_CreateWant,AbilityBase_Want *,AbilityBase_Element element,AbilityBase_Want * OH_AbilityBase_CreateWant(AbilityBase_Element)
include/AbilityKit/ability_base/want.h,84,OH_AbilityBase_DestroyWant,AbilityBase_ErrorCode,AbilityBase_Want * want,AbilityBase_ErrorCode OH_AbilityBase_DestroyWant(AbilityBase_Want *)
include/AbilityKit/ability_base/want.h,239,OH_AbilityBase_GetWantBoolParam,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,bool * value","AbilityBase_ErrorCode OH_AbilityBase_GetWantBoolParam(AbilityBase_Want *,const char *,bool *)"
include/AbilityKit/ability_base/want.h,135,OH_AbilityBase_GetWantCharParam,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,char * value,size_t valueSize","AbilityBase_ErrorCode OH_AbilityBase_GetWantCharParam(AbilityBase_Want *,const char *,char *,size_t)"
include/AbilityKit/ability_base/want.h,265,OH_AbilityBase_GetWantDoubleParam,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,double * value","AbilityBase_ErrorCode OH_AbilityBase_GetWantDoubleParam(AbilityBase_Want *,const char *,double *)"
include/AbilityKit/ability_base/want.h,108,OH_AbilityBase_GetWantElement,AbilityBase_ErrorCode,"AbilityBase_Want * want,AbilityBase_Element * element","AbilityBase_ErrorCode OH_AbilityBase_GetWantElement(AbilityBase_Want *,AbilityBase_Element *)"
include/AbilityKit/ability_base/want.h,162,OH_AbilityBase_GetWantFd,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,int32_t * fd","AbilityBase_ErrorCode OH_AbilityBase_GetWantFd(AbilityBase_Want *,const char *,int32_t *)"
include/AbilityKit/ability_base/want.h,213,OH_AbilityBase_GetWantInt32Param,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,int32_t * value","AbilityBase_ErrorCode OH_AbilityBase_GetWantInt32Param(AbilityBase_Want *,const char *,int32_t *)"
include/AbilityKit/ability_base/want.h,187,OH_AbilityBase_GetWantUri,AbilityBase_ErrorCode,"AbilityBase_Want * want,char * uri,size_t uriSize","AbilityBase_ErrorCode OH_AbilityBase_GetWantUri(AbilityBase_Want *,char *,size_t)"
include/AbilityKit/ability_base/want.h,226,OH_AbilityBase_SetWantBoolParam,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,bool value","AbilityBase_ErrorCode OH_AbilityBase_SetWantBoolParam(AbilityBase_Want *,const char *,bool)"
include/AbilityKit/ability_base/want.h,121,OH_AbilityBase_SetWantCharParam,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,const char * value","AbilityBase_ErrorCode OH_AbilityBase_SetWantCharParam(AbilityBase_Want *,const char *,const char *)"
include/AbilityKit/ability_base/want.h,252,OH_AbilityBase_SetWantDoubleParam,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,double value","AbilityBase_ErrorCode OH_AbilityBase_SetWantDoubleParam(AbilityBase_Want *,const char *,double)"
include/AbilityKit/ability_base/want.h,96,OH_AbilityBase_SetWantElement,AbilityBase_ErrorCode,"AbilityBase_Want * want,AbilityBase_Element element","AbilityBase_ErrorCode OH_AbilityBase_SetWantElement(AbilityBase_Want *,AbilityBase_Element)"
include/AbilityKit/ability_base/want.h,200,OH_AbilityBase_SetWantInt32Param,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,int32_t value","AbilityBase_ErrorCode OH_AbilityBase_SetWantInt32Param(AbilityBase_Want *,const char *,int32_t)"
include/AbilityKit/ability_base/want.h,174,OH_AbilityBase_SetWantUri,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * uri","AbilityBase_ErrorCode OH_AbilityBase_SetWantUri(AbilityBase_Want *,const char *)"
include/AbilityKit/ability_runtime/application_context.h,78,OH_AbilityRuntime_ApplicationContextGetAreaMode,AbilityRuntime_ErrorCode,AbilityRuntime_AreaMode * areaMode,AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetAreaMode(AbilityRuntime_AreaMode *)
include/AbilityKit/ability_runtime/application_context.h,179,OH_AbilityRuntime_ApplicationContextGetBundleCodeDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetBundleCodeDir(char *,const int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,94,OH_AbilityRuntime_ApplicationContextGetBundleName,AbilityRuntime_ErrorCode,"char * buffer,int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetBundleName(char *,int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,65,OH_AbilityRuntime_ApplicationContextGetCacheDir,AbilityRuntime_ErrorCode,"char * buffer,int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetCacheDir(char *,int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,213,OH_AbilityRuntime_ApplicationContextGetCloudFileDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetCloudFileDir(char *,const int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,145,OH_AbilityRuntime_ApplicationContextGetDatabaseDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetDatabaseDir(char *,const int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,196,OH_AbilityRuntime_ApplicationContextGetDistributedFilesDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetDistributedFilesDir(char *,const int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,128,OH_AbilityRuntime_ApplicationContextGetFilesDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetFilesDir(char *,const int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,162,OH_AbilityRuntime_ApplicationContextGetPreferencesDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetPreferencesDir(char *,const int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,231,OH_AbilityRuntime_ApplicationContextGetResourceDir,AbilityRuntime_ErrorCode,"const char * moduleName,char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetResourceDir(const char *,char *,const int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,111,OH_AbilityRuntime_ApplicationContextGetTempDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetTempDir(char *,const int32_t,int32_t *)"
include/AbilityKit/ability_runtime/application_context.h,260,OH_AbilityRuntime_StartSelfUIAbility,AbilityRuntime_ErrorCode,AbilityBase_Want * want,AbilityRuntime_ErrorCode OH_AbilityRuntime_StartSelfUIAbility(AbilityBase_Want *)
include/AbilityKit/ability_runtime/application_context.h,294,OH_AbilityRuntime_StartSelfUIAbilityWithStartOptions,AbilityRuntime_ErrorCode,"AbilityBase_Want * want,AbilityRuntime_StartOptions * options","AbilityRuntime_ErrorCode OH_AbilityRuntime_StartSelfUIAbilityWithStartOptions(AbilityBase_Want *,AbilityRuntime_StartOptions *)"
include/AbilityKit/ability_runtime/start_options.h,60,OH_AbilityRuntime_CreateStartOptions,AbilityRuntime_StartOptions *,void,AbilityRuntime_StartOptions * OH_AbilityRuntime_CreateStartOptions(void)
include/AbilityKit/ability_runtime/start_options.h,71,OH_AbilityRuntime_DestroyStartOptions,AbilityRuntime_ErrorCode,AbilityRuntime_StartOptions ** startOptions,AbilityRuntime_ErrorCode OH_AbilityRuntime_DestroyStartOptions(AbilityRuntime_StartOptions **)
include/AbilityKit/ability_runtime/start_options.h,122,OH_AbilityRuntime_GetStartOptionsDisplayId,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & displayId","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsDisplayId(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,473,OH_AbilityRuntime_GetStartOptionsMaxWindowHeight,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & maxWindowHeight","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsMaxWindowHeight(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,421,OH_AbilityRuntime_GetStartOptionsMaxWindowWidth,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & maxWindowWidth","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsMaxWindowWidth(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,447,OH_AbilityRuntime_GetStartOptionsMinWindowHeight,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & minWindowHeight","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsMinWindowHeight(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,395,OH_AbilityRuntime_GetStartOptionsMinWindowWidth,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & minWindowWidth","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsMinWindowWidth(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,278,OH_AbilityRuntime_GetStartOptionsStartVisibility,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,AbilityRuntime_StartVisibility & startVisibility","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsStartVisibility(AbilityRuntime_StartOptions *,AbilityRuntime_StartVisibility &)"
include/AbilityKit/ability_runtime/start_options.h,336,OH_AbilityRuntime_GetStartOptionsStartWindowBackgroundColor,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,char ** startWindowBackgroundColor,size_t & size","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsStartWindowBackgroundColor(AbilityRuntime_StartOptions *,char **,size_t &)"
include/AbilityKit/ability_runtime/start_options.h,306,OH_AbilityRuntime_GetStartOptionsStartWindowIcon,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,OH_PixelmapNative ** startWindowIcon","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsStartWindowIcon(AbilityRuntime_StartOptions *,OH_PixelmapNative **)"
include/AbilityKit/ability_runtime/start_options.h,368,OH_AbilityRuntime_GetStartOptionsSupportedWindowModes,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,AbilityRuntime_SupportedWindowMode ** supportedWindowModes,size_t & size","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsSupportedWindowModes(AbilityRuntime_StartOptions *,AbilityRuntime_SupportedWindowMode **,size_t &)"
include/AbilityKit/ability_runtime/start_options.h,226,OH_AbilityRuntime_GetStartOptionsWindowHeight,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & windowHeight","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsWindowHeight(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,174,OH_AbilityRuntime_GetStartOptionsWindowLeft,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & windowLeft","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsWindowLeft(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,96,OH_AbilityRuntime_GetStartOptionsWindowMode,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,AbilityRuntime_WindowMode & windowMode","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsWindowMode(AbilityRuntime_StartOptions *,AbilityRuntime_WindowMode &)"
include/AbilityKit/ability_runtime/start_options.h,200,OH_AbilityRuntime_GetStartOptionsWindowTop,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & windowTop","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsWindowTop(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,252,OH_AbilityRuntime_GetStartOptionsWindowWidth,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t & windowWidth","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsWindowWidth(AbilityRuntime_StartOptions *,int32_t &)"
include/AbilityKit/ability_runtime/start_options.h,148,OH_AbilityRuntime_GetStartOptionsWithAnimation,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,bool & withAnimation","AbilityRuntime_ErrorCode OH_AbilityRuntime_GetStartOptionsWithAnimation(AbilityRuntime_StartOptions *,bool &)"
