source_package,declaration,status,target_package,target_declaration
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_SCROLLED,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_SELECTED,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_TEXT_UPDATE,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_FOCUS_TYPE_ACCESSIBILITY,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_FOCUS_TYPE_INPUT,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_FOCUS_TYPE_INVALID,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_RESULT_BAD_PARAMETER,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_RESULT_FAILED,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_RESULT_OUT_OF_MEMORY,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_RESULT_SUCCESSFUL,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_SEARCH_MODE_PREFETCH_CHILDREN,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_SEARCH_MODE_PREFETCH_CURRENT,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_SEARCH_MODE_PREFETCH_PREDECESSORS,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_SEARCH_MODE_PREFETCH_RECURSIVE_CHILDREN,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_SEARCH_MODE_PREFETCH_SIBLINGS,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_UNCHECKED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ADAPTIVE_COLOR_AVERAGE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ADAPTIVE_COLOR_DEFAULT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_BOTTOM,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_BOTTOM_END,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_BOTTOM_START,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_CENTER,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_END,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_START,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_TOP,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_TOP_END,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ALIGNMENT_TOP_START,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ANIMATION_DIRECTION_ALTERNATE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ANIMATION_DIRECTION_ALTERNATE_REVERSE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ANIMATION_DIRECTION_NORMAL,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ANIMATION_DIRECTION_REVERSE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ANIMATION_PLAY_MODE_ALTERNATE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ANIMATION_PLAY_MODE_ALTERNATE_REVERSE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ANIMATION_PLAY_MODE_NORMAL,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ANIMATION_PLAY_MODE_REVERSE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_AXIS_HORIZONTAL,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_AXIS_VERTICAL,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BARRIER_DIRECTION_BOTTOM,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BARRIER_DIRECTION_END,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BARRIER_DIRECTION_START,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BARRIER_DIRECTION_TOP,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_CLEAR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_COLOR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_COLOR_BURN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_COLOR_DODGE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_DARKEN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_DIFFERENCE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_DST,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_DST_ATOP,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_DST_IN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_DST_OUT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_BLEND_MODE_DST_OVER,mapped,platform.ArkUI.ArkUI_NativeModule,
