file_path,line_no,function_name,return_type,parameter_types,full_signature
AbilityKit/ability_runtime/application_context.h,236,OH_AbilityRuntime_ApplicationContextGetCloudFileDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetCloudFileDir(char *,const int32_t,int32_t *)"
AbilityKit/ability_runtime/application_context.h,168,OH_AbilityRuntime_ApplicationContextGetDatabaseDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetDatabaseDir(char *,const int32_t,int32_t *)"
AbilityKit/ability_runtime/application_context.h,219,OH_AbilityRuntime_ApplicationContextGetDistributedFilesDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetDistributedFilesDir(char *,const int32_t,int32_t *)"
AbilityKit/ability_runtime/application_context.h,151,OH_AbilityRuntime_ApplicationContextGetFilesDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetFilesDir(char *,const int32_t,int32_t *)"
AbilityKit/ability_runtime/application_context.h,185,OH_AbilityRuntime_ApplicationContextGetPreferencesDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetPreferencesDir(char *,const int32_t,int32_t *)"
AbilityKit/ability_runtime/application_context.h,134,OH_AbilityRuntime_ApplicationContextGetTempDir,AbilityRuntime_ErrorCode,"char * buffer,const int32_t bufferSize,int32_t * writeLength","AbilityRuntime_ErrorCode OH_AbilityRuntime_ApplicationContextGetTempDir(char *,const int32_t,int32_t *)"
AbilityKit/ability_runtime/application_context.h,118,OH_AbilityRuntime_StartSelfUIAbility,AbilityRuntime_ErrorCode,AbilityBase_Want * want,AbilityRuntime_ErrorCode OH_AbilityRuntime_StartSelfUIAbility(AbilityBase_Want *)
BasicServicesKit/oh_commonevent.h,118,OH_CommonEvent_CreateSubscribeInfo,CommonEvent_SubscribeInfo *,"const char * events[],int32_t eventsNum","CommonEvent_SubscribeInfo * OH_CommonEvent_CreateSubscribeInfo(const char * events[],int32_t)"
BasicServicesKit/oh_commonevent.h,160,OH_CommonEvent_CreateSubscriber,CommonEvent_Subscriber *,"const CommonEvent_SubscribeInfo * info,CommonEvent_ReceiveCallback callback","CommonEvent_Subscriber * OH_CommonEvent_CreateSubscriber(const CommonEvent_SubscribeInfo *,CommonEvent_ReceiveCallback)"
BasicServicesKit/oh_commonevent.h,150,OH_CommonEvent_DestroySubscribeInfo,void,CommonEvent_SubscribeInfo * info,void OH_CommonEvent_DestroySubscribeInfo(CommonEvent_SubscribeInfo *)
